,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,TotalMntSpent,TotalNumPurchases,Total_Acc_Cmp,Partner,Children,Education_Level,Years_Customer,Days_Customer
0,58138,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,57,1617,25,1,0,0,Graduate,2,971
1,46344,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,27,6,0,0,2,Graduate,0,125
2,71613,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,49,776,21,0,1,0,Graduate,1,472
3,26646,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,53,8,0,1,1,Graduate,0,65
4,58293,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,422,19,0,1,1,Postgraduate,0,321
5,62513,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,47,716,22,0,1,1,Postgraduate,1,453
6,55635,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,43,590,21,0,0,1,Graduate,2,753
7,33454,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,29,169,10,0,1,1,Postgraduate,1,488
8,30351,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,40,46,6,1,1,1,Postgraduate,1,548
9,5648,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,49,2,1,1,2,Postgraduate,0,268
10,7500,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,38,61,6,0,1,0,Undergraduate,2,753
11,63033,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,55,1102,16,0,0,0,Graduate,1,386
12,59354,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,62,310,15,0,0,2,Postgraduate,1,386
13,17323,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,27,46,5,0,1,0,Graduate,2,787
14,82800,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,68,1315,26,3,0,0,Postgraduate,2,742
15,41850,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,34,96,9,0,1,2,Graduate,2,712
16,37760,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,68,317,13,0,1,0,Graduate,2,827
17,76995,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,65,1782,26,1,1,1,Postgraduate,1,618
18,33812,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,29,133,8,0,0,1,Undergraduate,2,1000
19,37040,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,32,316,12,0,1,0,Graduate,2,850
20,2447,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,35,1730,43,0,1,1,Graduate,1,553
21,58607,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,65,972,17,1,1,1,Postgraduate,2,713
22,65324,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,60,544,20,0,1,1,Postgraduate,0,35
23,40689,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,63,444,20,0,1,1,Graduate,1,628
24,18589,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,45,75,8,0,0,0,Graduate,1,673
25,53359,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,38,257,14,0,1,2,Graduate,1,558
26,38360,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,25,131,9,0,1,1,Graduate,1,554
27,84618,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,49,1672,26,1,1,0,Postgraduate,1,379
28,10979,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,25,30,8,0,0,0,Postgraduate,0,198
29,38620,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,318,11,0,1,0,Postgraduate,1,396
30,40548,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,44,120,9,1,1,1,Graduate,2,787
31,46610,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,62,302,17,1,0,2,Postgraduate,2,768
32,68657,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,68,1196,18,0,1,0,Postgraduate,1,654
